GeneName	Cluster_of_Differentiation	GPCR	MGI_ExtrinsicCase	MGI_ECM	Compartment_ECM	AMIGO_ECM	MatrixDB	Compartment_CellSurface	Cell_Surface_Protein_Atlas	TMHMM_Output_Membrane	TMHMM_Partial_OuterMembrane	MGI_ExtracellularRegion	MGI_ExternalSidePM	HSA_Predicted_Secreted	HPA_MembraneBound	Oncofetal
A1BG	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	NA	NA	TRUE	FALSE	FALSE	FALSE	false
A2M	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	NA	NA	TRUE	FALSE	FALSE	FALSE	false
AAMP	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	NA	NA	TRUE	FALSE	FALSE	FALSE	false
ABCA1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	false
ABCA7	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	false
ABCB1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	true
ABCB11	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	false
ABCC1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	false
ABCC2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	false
ABCC4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	false
ABCC5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	false
ABCC6	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	false
