Exon	GeneName	AlternativeSplicedExon	PanExpressionScore	RepresentativeExon	Location	Tier	Expression_High_in_Normal	Expression_High_In_Tumor
COL2A1_chr12_47993994_47994047_-	COL2A1	Gene	0.375	false	MATRISOME	Tier2		,WLM,
IBSP_chr4_87806122_87806184_+	IBSP	Gene	0.1875	false	MATRISOME	Tier1		,OS,
SEMA3A_chr7_84007353_84007497_-	SEMA3A	Gene	0.125	false	SURFACEOME	Tier1		MB,
LAMA1_chr18_6949101_6949259_-	LAMA1	Gene	0.25	false	MATRISOME	Tier1	Testis,	EPD,
CP_chr3_149209211_149209340_-	CP	Gene	0.5	false	SURFACEOME	Tier2	,Liver,	DSRCT,EPD,
MMP13_chr11_102952012_102952173_-	MMP13	Gene	0.1875	false	MATRISOME	Tier1		,OS,
SMOC1_chr14_69994239_69994480_+	SMOC1	Gene	0.75	false	MATRISOME	Tier2	Testis,	HGG,DSRCT,EPD,LGG,
MMP9_chr20_46014123_46014272_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
BCAN_chr1_156659027_156659528_+	BCAN	Gene	0.5625	false	MATRISOME	Not Prioritized	,Brain,	,EPD,HGG,LGG,
ADAMTS7_chr15_78768133_78768259_-	ADAMTS7	Gene	0.375	true	MATRISOME	Tier2	Heart,	ACT,
NCAN_chr19_19234983_19235096_+	NCAN	Gene	0.5625	false	MATRISOME	Not Prioritized	Brain,	EPD,HGG,LGG,
ENPP1_chr6_131849999_131850106_+	ENPP1	Gene	0.125	false	MATRISOME_SURFACEOME	Tier2		EWS,
BCAN_chr1_156648568_156648798_+	BCAN	Gene	0.5625	false	MATRISOME	Not Prioritized	,Brain,	,EPD,HGG,LGG,
WIF1_chr12_65068764_65068904_-	WIF1	Gene	0.1875	false	MATRISOME	Not Prioritized	Brain,	RB,
LRP8_chr1_53262446_53262564_-	LRP8	Gene	0.4375	false	SURFACEOME	Tier2	Testis,	,MB,
COL9A1_chr6_70241964_70242035_-	COL9A1	Gene	0.625	false	MATRISOME	Tier1		CPC,RB,LGG,
ATRN_chr20_3535253_3535336_+	ATRN	Gene	0.875	false	MATRISOME_SURFACEOME	Not Prioritized		EWS,BT,
IGF2R_chr6_160064401_160064531_+	IGF2R	Gene	1.8125	false	MATRISOME_SURFACEOME	Not Prioritized	Muscle,	RB,DSRCT,BT,OS,MEL,MB,HGG,RHB,EWS,ST,ACT,
ITGAV_chr2_186651982_186652089_+	ITGAV	Gene	2.125	false	MATRISOME_SURFACEOME	Tier2	Blood_Vessel,	RB,ACT,OS,MB,CPC,RHB,EWS,ST,DSRCT,BT,MEL,HGG,LGG,
MMP11_chr22_23780582_23780715_+	MMP11	Gene	0.6875	false	MATRISOME	Tier2		OS,WLM,RHB,
DLK1_chr14_100732044_100732184_+	DLK1	Gene	0.5625	false	MATRISOME_SURFACEOME	Tier2	,Testis,Ovary,Pituitary,Adrenal_Gland,	NBL,ACT,RHB,
NTM_chr11_132335046_132335286_+	NTM	Gene	0.5	false	SURFACEOME	Not Prioritized	Brain,	EPD,HGG,LGG,
ADAM19_chr5_157491615_157491723_-	ADAM19	Gene	0.375	false	MATRISOME_SURFACEOME	Tier2		RB,
FBN1_chr15_48494204_48494254_-	FBN1	Gene	0.5625	false	MATRISOME	Tier2		ST,DSRCT,
NPTX2_chr7_98624922_98625166_+	NPTX2	Gene	0.625	true	SURFACEOME	Tier2	Testis,Adrenal_Gland,Pituitary,	MB,LGG,ACT,
PROM1_chr4_16000496_16000619_-	PROM1	Gene	0.5	false	MATRISOME_SURFACEOME	Tier2	,Salivary_Gland,	CPC,RB,
MMP9_chr20_46010923_46011048_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
SEMA3A_chr7_84005339_84005558_-	SEMA3A	Gene	0.125	false	SURFACEOME	Tier1		MB,
CEP55_chr10_93503113_93503388_+	CEP55	Gene	0.25	false	SURFACEOME	Tier2		RB,
ADAMTS9_chr3_64651017_64651163_-	ADAMTS9	Gene	0.375	false	MATRISOME	Not Prioritized		ST,BT,
COL2A1_chr12_47999697_48000125_-	COL2A1	Gene	0.125	false	MATRISOME	Tier2		WLM,
ITGA1_chr5_52864763_52864851_+	ITGA1	Gene	1.0625	false	MATRISOME_SURFACEOME	Not Prioritized	Lung,Bladder,Adrenal_Gland,Blood_Vessel,	EWS,ST,ACT,BT,MEL,DSRCT,
NID2_chr14_52054020_52054321_-	NID2	Gene	0.375	true	MATRISOME	Tier2		CPC,
PTPRZ1_chr7_121873182_121873557_+	PTPRZ1	Gene	0.6875	false	MATRISOME_SURFACEOME	Not Prioritized		BT,HGG,LGG,
PDGFC_chr4_156767773_156767876_-	PDGFC	Gene	1.3125	true	MATRISOME	Tier2	Uterus,Salivary_Gland,Fallopian_Tube,Adrenal_Gland,Blood_Vessel,	ST,DSRCT,BT,OS,CPC,RHB,LGG,WLM,
COL23A1_chr5_178262217_178262252_-	COL23A1	Gene	0.1875	false	MATRISOME	Tier2	,Thyroid,	,DSRCT,
EPHA3_chr3_89210047_89210216_+	EPHA3	Gene	0.1875	true	SURFACEOME	Tier1		MB,
PTPRZ1_chr7_122012648_122013889_+	PTPRZ1	Gene	0.5625	false	MATRISOME_SURFACEOME	Not Prioritized		,HGG,LGG,
AMOT_chrX_112804947_112805092_-	AMOT	Gene	0.3125	false	SURFACEOME	Tier1		LGG,
