Exon	GeneName	AlternativeSplicedExon	RepresentativeExon	Location	Tier	Expression_High_in_Normal	Expression_High_In_Tumor
ADAMTS7_chr15_78768133_78768259_-	ADAMTS7	Gene	true	MATRISOME	Tier2	Heart,	ACT,
NPTX2_chr7_98624922_98625166_+	NPTX2	Gene	true	SURFACEOME	Tier2	Testis,Adrenal_Gland,Pituitary,	MB,LGG,ACT,
NID2_chr14_52054020_52054321_-	NID2	Gene	true	MATRISOME	Tier2		CPC,
PDGFC_chr4_156767773_156767876_-	PDGFC	Gene	true	MATRISOME	Tier2	Uterus,Salivary_Gland,Fallopian_Tube,Adrenal_Gland,Blood_Vessel,	ST,DSRCT,BT,OS,CPC,RHB,LGG,WLM,
EPHA3_chr3_89210047_89210216_+	EPHA3	Gene	true	SURFACEOME	Tier1		MB,
CDH19_chr18_66511568_66511685_-	CDH19	Gene	true	SURFACEOME	Tier2	Heart,Nerve,	,MEL,
SEMA3A_chr7_83977132_83977196_-	SEMA3A	Gene	true	SURFACEOME	Tier1		MB,
ADAM10_chr15_58682196_58682314_-	ADAM10	Gene	true	MATRISOME_SURFACEOME	Tier2		DSRCT,OS,EPD,HGG,WLM,RHB,LGG,EWS,RB,ST,BT,MEL,MB,
CDH11_chr16_64988157_64988344_-	CDH11	Gene	true	SURFACEOME	Tier2	Nerve,Lung,Bladder,Blood_Vessel,Ovary,	RB,DSRCT,BT,MB,EPD,HGG,WLM,LGG,EWS,ST,OS,RHB,
LDLR_chr19_11100223_11100345_+	LDLR	Gene	true	MATRISOME_SURFACEOME	Tier2	Adrenal_Gland,	,ACT,
TNC_chr9_115048260_115048532_-	TNC	AS	true	MATRISOME_SURFACEOME	Tier1		OS,LGG,EPD,HGG,
NAV2_chr11_20107664_20107782_+	NAV2	Gene	true	MATRISOME	Tier2	Colon,Blood_Vessel,Thyroid,	BT,MEL,HGG,LGG,EPD,
SULF1_chr8_69640808_69640841_+	SULF1	Gene	true	MATRISOME	Tier2	Uterus,Colon,Prostate,Thyroid,Blood_Vessel,	ST,DSRCT,BT,OS,RHB,LGG,CPC,
CLSTN1_chr1_9756481_9756510_-	CLSTN1	AS	true	MATRISOME_SURFACEOME	Tier2	Uterus,	HGG,LGG,
ASTN1_chr1_176884339_176884490_-	ASTN1	Gene	true	SURFACEOME	Tier2	Adrenal_Gland,	HGG,DSRCT,LGG,
MMP16_chr8_88186476_88186598_-	MMP16	Gene	true	MATRISOME_SURFACEOME	Tier1		MB,HGG,LGG,
GFRA2_chr8_21694464_21694511_-	GFRA2	Gene	true	SURFACEOME	Tier2	Testis,Thyroid,	NBL,
SPA17_chr11_124691696_124691782_+	SPA17	Gene	true	SURFACEOME	Tier2	Pituitary,Testis,	RB,WLM,EPD,
CHL1_chr3_383816_383886_+	CHL1	Gene	true	SURFACEOME	Tier2	Nerve,	HGG,LGG,
TFRC_chr3_196073930_196074125_-	TFRC	Gene	true	MATRISOME_SURFACEOME	Tier2		ST,ACT,MEL,HGG,RHB,EWS,RB,DSRCT,BT,MB,
HMCN1_chr1_186171387_186171450_+	HMCN1	Gene	true	MATRISOME	Tier2	Lung,Blood_Vessel,	MEL,WLM,EWS,
FGF2_chr4_122876321_122876424_+	FGF2	Gene	true	MATRISOME	Tier2		BT,CPC,
BTC_chr4_74770058_74770156_-	BTC	Gene	true	SURFACEOME	Tier1		CPC,
IL1RAP_chr3_190644248_190644397_+	IL1RAP	Gene	true	SURFACEOME	Tier2		DSRCT,LGG,EWS,
NRG1_chr8_32754372_32754474_+	NRG1	Gene	true	MATRISOME_SURFACEOME	Tier1		DSRCT,
CCL25_chr19_8057804_8057920_+	CCL25	Gene	true	SURFACEOME	Tier2	Small_Intestine,	,DSRCT,
PDCD1_chr2_241852857_241852980_-	PDCD1	Gene	true	SURFACEOME	Tier2		DSRCT,
SYT4_chr18_43273580_43274394_-	SYT4	Gene	true	SURFACEOME	Tier2		RB,MB,
CXADR_chr21_17547027_17547193_+	CXADR	Gene	true	SURFACEOME	Tier2		RB,BT,DSRCT,MB,
COL26A1_chr7_101545338_101545490_+	COL26A1	Gene	true	MATRISOME_SURFACEOME	Tier1		WLM,
SMOC1_chr14_69952137_69952303_+	SMOC1	Gene	true	MATRISOME	Tier2	Testis,	,DSRCT,EPD,HGG,LGG,
GPC2_chr7_100171539_100171678_-	GPC2	Gene	true	MATRISOME	Tier2	Testis,	NBL,
KLK6_chr19_50963302_50963549_-	KLK6	Gene	true	SURFACEOME	Tier2		,DSRCT,WLM,
DBH_chr9_133656523_133656650_+	DBH	Gene	true	SURFACEOME	Tier2	,Liver,	,NBL,
CDH8_chr16_61713841_61713958_-	CDH8	Gene	true	MATRISOME_SURFACEOME	Tier1		EWS,
CDH15_chr16_89191655_89191894_+	CDH15	Gene	true	SURFACEOME	Tier2	Muscle,	OS,RHB,
SMPDL3B_chr1_27953215_27953358_+	SMPDL3B	Gene	true	SURFACEOME	Tier2	Pancreas,	,DSRCT,
NRCAM_chr7_108191254_108191283_-	NRCAM	AS	true	MATRISOME_SURFACEOME	Tier2		MB,NBL,
ABCA1_chr9_104787920_104788054_-	ABCA1	Gene	true	SURFACEOME	Tier2	Bladder,Adrenal_Gland,	EWS,MB,EPD,HGG,LGG,RB,ST,DSRCT,BT,MEL,
COL2A1_chr12_47997606_47997707_-	COL2A1	Gene	true	MATRISOME	Tier2		,WLM,
FYN_chr6_111699515_111699670_-	FYN	AS	true	SURFACEOME	Tier2	Spleen,	BT,MB,HGG,LGG,
SEMA6A_chr5_116467583_116467747_-	SEMA6A	Gene	true	SURFACEOME	Tier2	Adrenal_Gland,	BT,HGG,WLM,RHB,LGG,
WNT5A_chr3_55480785_55480918_-	WNT5A	Gene	true	MATRISOME_SURFACEOME	Tier1		EPD,EWS,
GNAQ_chr9_77728514_77728667_-	GNAQ	Gene	true	SURFACEOME	Tier2	Bladder,	EWS,RB,ST,DSRCT,ACT,BT,MEL,EPD,HGG,LGG,MB,
IGF2_chr11_2133517_2133674_-	IGF2	Gene	true	MATRISOME	Tier2	Fallopian_Tube,Liver,Adipose_Tissue,	ST,OS,CPC,DSRCT,ACT,EPD,WLM,RHB,
IL2RB_chr22_37128522_37128848_-	IL2RB	Gene	true	SURFACEOME	Tier2	Blood,	DSRCT,
PTPN11_chr12_112450321_112450512_+	PTPN11	Gene	true	SURFACEOME	Tier2	Brain,Bladder,Muscle,	ACT,CPC,RHB,EWS,RB,ST,DSRCT,BT,MEL,MB,EPD,HGG,LGG,
SEMA4F_chr2_74674923_74675035_+	SEMA4F	Gene	true	SURFACEOME	Tier1		CPC,
FBN1_chr15_48596283_48596378_-	FBN1	Gene	true	MATRISOME	Tier2		EWS,DSRCT,BT,MEL,RHB,ST,
GPC6_chr13_93545263_93545421_+	GPC6	Gene	true	MATRISOME	Tier2		MB,RB,
CHRNA4_chr20_63355975_63356084_-	CHRNA4	Gene	true	SURFACEOME	Tier2	Liver,	DSRCT,
LOXL2_chr8_23298836_23298947_-	LOXL2	Gene	true	MATRISOME	Tier2	Adipose_Tissue,Breast,Colon,Esophagus,	OS,WLM,RHB,
OLFML2B_chr1_161984804_161984980_-	OLFML2B	Gene	true	SURFACEOME	Tier2	Testis,Nerve,Blood_Vessel,Thyroid,	WLM,OS,RHB,
IL6ST_chr5_55964209_55964312_-	IL6ST	Gene	true	MATRISOME_SURFACEOME	Tier2	Adipose_Tissue,Breast,Adrenal_Gland,Cervix_Uteri,Blood_Vessel,	EPD,HGG,RHB,EWS,RB,ST,DSRCT,BT,MEL,MB,LGG,
KITLG_chr12_88545752_88545865_-	KITLG	Gene	true	SURFACEOME	Tier1		MB,
MELTF_chr3_197008657_197008724_-	MELTF	Gene	true	SURFACEOME	Tier2		OS,MEL,
COL11A2_chr6_33170326_33170379_-	COL11A2	Gene	true	MATRISOME_SURFACEOME	Tier2	Testis,Pituitary,	OS,
KIT_chr4_54723584_54723698_+	KIT	Gene	true	MATRISOME_SURFACEOME	Tier2		EWS,
SCUBE3_chr6_35244650_35244811_+	SCUBE3	Gene	true	SURFACEOME	Tier2	Blood_Vessel,Thyroid,	DSRCT,
LIFR_chr5_38528726_38528840_-	LIFR	Gene	true	MATRISOME_SURFACEOME	Tier2		BT,MB,EPD,HGG,LGG,EWS,
RTBDN_chr19_12828869_12828953_-	RTBDN	Gene	true	MATRISOME	Tier2	Pituitary,	,RB,
CPD_chr17_30456462_30456526_+	CPD	Gene	true	SURFACEOME	Tier2	Salivary_Gland,Lung,Testis,	EWS,RB,ST,DSRCT,BT,MEL,MB,HGG,WLM,
SORL1_chr11_121627555_121627767_+	SORL1	Gene	true	SURFACEOME	Tier2	Spleen,Liver,Blood,	RB,DSRCT,BT,HGG,LGG,
PCSK6_chr15_101366196_101366332_-	PCSK6	Gene	true	MATRISOME	Tier2	Spleen,Liver,	DSRCT,CPC,ACT,
TNFRSF11B_chr8_118926494_118926718_-	TNFRSF11B	Gene	true	MATRISOME	Tier2	Kidney,Thyroid,Blood_Vessel,	,EPD,
FREM2_chr13_38784557_38784808_+	FREM2	Gene	true	MATRISOME_SURFACEOME	Tier2		BT,
TREM2_chr6_41161263_41161613_-	TREM2	Gene	true	SURFACEOME	Tier1		LGG,
COL9A1_chr6_70281004_70281039_-	COL9A1	Gene	true	MATRISOME	Tier1		LGG,
PCDH15_chr10_54236823_54236927_-	PCDH15	Gene	true	SURFACEOME	Tier2		LGG,
NPTX1_chr17_80471732_80471911_-	NPTX1	Gene	true	SURFACEOME	Tier2		ACT,MB,RB,
ITGA6_chr2_172470974_172471105_+	ITGA6	Gene	true	MATRISOME_SURFACEOME	Tier2	Nerve,Salivary_Gland,	ST,MEL,DSRCT,BT,
AGRN_chr1_1022201_1022462_+	AGRN	Gene	true	MATRISOME_SURFACEOME	Tier2		ST,DSRCT,BT,MEL,CPC,EPD,HGG,LGG,
COL11A1_chr1_103025521_103025613_-	COL11A1	Gene	true	MATRISOME_SURFACEOME	Tier1		CPC,OS,
COL20A1_chr20_63328079_63328127_+	COL20A1	Gene	true	MATRISOME	Tier1	Testis,	HGG,DSRCT,LGG,
LYN_chr8_55966715_55966897_+	LYN	Gene	true	SURFACEOME	Tier2	Spleen,Lung,Blood,	CPC,
TGFB3_chr14_75971126_75971255_-	TGFB3	Gene	true	MATRISOME_SURFACEOME	Tier2	Cervix_Uteri,Prostate,	BT,OS,RHB,DSRCT,MB,
PICALM_chr11_85990250_85990378_-	PICALM	AS	true	SURFACEOME	Tier2	Testis,Small_Intestine,Salivary_Gland,Esophagus,	ST,DSRCT,MEL,CPC,NBL,RHB,LGG,EWS,RB,BT,MB,
