ExonID	GeneName	CandidateCategory	Class	GTEx_Normal	TargetDisease	ProteinType	Location	Oncofetal	PanCancerExprScore	PanNormalExprScore	WeightedDEScore
ADAMTS7_chr15_78768133_78768259_-	ADAMTS7	Tier2	Gene	Heart,	ACT,	ECM Regulators	MATRISOME	false	0.375	0.16666666666666666	178.1142421007871
NPTX2_chr7_98624922_98625166_+	NPTX2	Tier2	Gene	Testis,Adrenal_Gland,Pituitary,	MB,LGG,ACT,	Receptor	SURFACEOME	false	0.625	0.23333333333333334	200.4213077491476
NID2_chr14_52054020_52054321_-	NID2	Tier2	Gene		CPC,	ECM Glycoprotein	MATRISOME	false	0.375	0.1	239.9338744242144
PDGFC_chr4_156767773_156767876_-	PDGFC	Tier2	Gene	Uterus,Salivary_Gland,Fallopian_Tube,Adrenal_Gland,Blood_Vessel,	ST,DSRCT,BT,OS,CPC,RHB,LGG,WLM,	Secreted Factors	MATRISOME	false	1.3125	0.8333333333333334	209.5682027687102
EPHA3_chr3_89210047_89210216_+	EPHA3	Tier1	Gene		MB,	Signaling	SURFACEOME	false	0.1875	0.0	169.13151019554473
CDH19_chr18_66511568_66511685_-	CDH19	Tier2	Gene	Heart,Nerve,	,MEL,	Cell Adhesion	SURFACEOME	false	0.25	0.23333333333333334	26.535578701236815
SEMA3A_chr7_83977132_83977196_-	SEMA3A	Tier1	Gene		MB,	Signaling	SURFACEOME	false	0.1875	0.06666666666666667	124.42144221782218
ADAM10_chr15_58682196_58682314_-	ADAM10	Tier2	Gene		DSRCT,OS,EPD,HGG,WLM,RHB,LGG,EWS,RB,ST,BT,MEL,MB,	ECM Regulators	MATRISOME_SURFACEOME	false	2.1875	0.1	1038.10529941233
CDH11_chr16_64988157_64988344_-	CDH11	Tier2	Gene	Nerve,Lung,Bladder,Blood_Vessel,Ovary,	RB,DSRCT,BT,MB,EPD,HGG,WLM,LGG,EWS,ST,OS,RHB,	Cell Adhesion	SURFACEOME	false	1.875	0.6333333333333333	791.0908984344172
LDLR_chr19_11100223_11100345_+	LDLR	Tier2	Gene	Adrenal_Gland,	,ACT,	Receptor	MATRISOME_SURFACEOME	false	0.625	0.4	195.97461515743458
TNC_chr9_115048260_115048532_-	TNC	Tier1	AS		OS,LGG,EPD,HGG,	ECM Glycoprotein	MATRISOME_SURFACEOME	true	0.8125	0.0	543.929126864679
NAV2_chr11_20107664_20107782_+	NAV2	Tier2	Gene	Colon,Blood_Vessel,Thyroid,	BT,MEL,HGG,LGG,EPD,	Enzyme	MATRISOME	false	0.9375	0.8333333333333334	334.4095582569876
SULF1_chr8_69640808_69640841_+	SULF1	Tier2	Gene	Uterus,Colon,Prostate,Thyroid,Blood_Vessel,	ST,DSRCT,BT,OS,RHB,LGG,CPC,	ECM Regulators	MATRISOME	false	1.25	0.7666666666666667	351.11995301220304
CLSTN1_chr1_9756481_9756510_-	CLSTN1	Tier2	AS	Uterus,	HGG,LGG,	Cell Adhesion	MATRISOME_SURFACEOME	false	0.625	0.3333333333333333	289.8875899222271
ASTN1_chr1_176884339_176884490_-	ASTN1	Tier2	Gene	Adrenal_Gland,	HGG,DSRCT,LGG,	Cell Adhesion	SURFACEOME	false	0.75	0.13333333333333333	451.98827070408043
MMP16_chr8_88186476_88186598_-	MMP16	Tier1	Gene		MB,HGG,LGG,	ECM Regulators	MATRISOME_SURFACEOME	false	0.5	0.0	472.8596094530653
GFRA2_chr8_21694464_21694511_-	GFRA2	Tier2	Gene	Testis,Thyroid,	NBL,	Signaling	SURFACEOME	false	0.1875	0.16666666666666666	74.37419508440078
SPA17_chr11_124691696_124691782_+	SPA17	Tier2	Gene	Pituitary,Testis,	RB,WLM,EPD,	Testis Antigen Secreted Factors	SURFACEOME	false	0.5625	0.36666666666666664	153.0434511784035
CHL1_chr3_383816_383886_+	CHL1	Tier2	Gene	Nerve,	HGG,LGG,	Cell Adhesion	SURFACEOME	false	0.4375	0.06666666666666667	400.47584352997745
TFRC_chr3_196073930_196074125_-	TFRC	Tier2	Gene		ST,ACT,MEL,HGG,RHB,EWS,RB,DSRCT,BT,MB,	Receptor	MATRISOME_SURFACEOME	false	1.875	0.2	832.482323763758
HMCN1_chr1_186171387_186171450_+	HMCN1	Tier2	Gene	Lung,Blood_Vessel,	MEL,WLM,EWS,	ECM Glycoprotein	MATRISOME	false	0.5	0.23333333333333334	414.8949268119721
FGF2_chr4_122876321_122876424_+	FGF2	Tier2	Gene		BT,CPC,	Secreted Factors	MATRISOME	false	0.5	0.4	357.252424347333
BTC_chr4_74770058_74770156_-	BTC	Tier1	Gene		CPC,	Growth Factor	SURFACEOME	false	0.125	0.03333333333333333	30.136467484594988
IL1RAP_chr3_190644248_190644397_+	IL1RAP	Tier2	Gene		DSRCT,LGG,EWS,	Receptor	SURFACEOME	false	0.5	0.03333333333333333	269.37461025777327
NRG1_chr8_32754372_32754474_+	NRG1	Tier1	Gene		DSRCT,	Secreted Factors	MATRISOME_SURFACEOME	false	0.125	0.0	50.55846387661453
CCL25_chr19_8057804_8057920_+	CCL25	Tier2	Gene	Small_Intestine,	,DSRCT,	Cell Adhesion	SURFACEOME	false	0.1875	0.06666666666666667	52.25941145845785
PDCD1_chr2_241852857_241852980_-	PDCD1	Tier2	Gene		DSRCT,	Immune Regulator	SURFACEOME	false	0.1875	0.0	105.27215837477456
SYT4_chr18_43273580_43274394_-	SYT4	Tier2	Gene		RB,MB,	Synapsis Vesicle	SURFACEOME	false	0.375	0.03333333333333333	228.57441743506126
CXADR_chr21_17547027_17547193_+	CXADR	Tier2	Gene		RB,BT,DSRCT,MB,	Cell Adhesion	SURFACEOME	false	0.6875	0.0	463.68592041719774
COL26A1_chr7_101545338_101545490_+	COL26A1	Tier1	Gene		WLM,	Collagen	MATRISOME_SURFACEOME	false	0.1875	0.0	201.4661486699767
SMOC1_chr14_69952137_69952303_+	SMOC1	Tier2	Gene	Testis,	,DSRCT,EPD,HGG,LGG,	ECM Glycoprotein	MATRISOME	false	0.8125	0.23333333333333334	562.1114911487718
GPC2_chr7_100171539_100171678_-	GPC2	Tier2	Gene	Testis,	NBL,	ECM-affiliated proteins	MATRISOME	false	0.125	0.06666666666666667	99.77455455406336
KLK6_chr19_50963302_50963549_-	KLK6	Tier2	Gene		,DSRCT,WLM,	Enzyme	SURFACEOME	false	0.375	0.06666666666666667	207.2643270021121
DBH_chr9_133656523_133656650_+	DBH	Tier2	Gene	,Liver,	,NBL,	Secreted Factors	SURFACEOME	false	0.1875	0.1	150.41227859137783
CDH8_chr16_61713841_61713958_-	CDH8	Tier1	Gene		EWS,	Cell Adhesion	MATRISOME_SURFACEOME	false	0.125	0.0	89.41564654804654
CDH15_chr16_89191655_89191894_+	CDH15	Tier2	Gene	Muscle,	OS,RHB,	Cell Adhesion	SURFACEOME	false	0.25	0.06666666666666667	231.1863398189074
SMPDL3B_chr1_27953215_27953358_+	SMPDL3B	Tier2	Gene	Pancreas,	,DSRCT,	Enzyme	SURFACEOME	false	0.25	0.2	2.706819525038453
NRCAM_chr7_108191254_108191283_-	NRCAM	Tier2	AS		MB,NBL,	Cell Adhesion	MATRISOME_SURFACEOME	false	0.375	0.0	254.77752533212436
ABCA1_chr9_104787920_104788054_-	ABCA1	Tier2	Gene	Bladder,Adrenal_Gland,	EWS,MB,EPD,HGG,LGG,RB,ST,DSRCT,BT,MEL,	Transporter	SURFACEOME	false	1.8125	0.43333333333333335	550.5444148481654
COL2A1_chr12_47997606_47997707_-	COL2A1	Tier2	Gene		,WLM,	Collagen	MATRISOME	false	0.375	0.0	303.717337212425
FYN_chr6_111699515_111699670_-	FYN	Tier2	AS	Spleen,	BT,MB,HGG,LGG,	Signaling	SURFACEOME	false	0.8125	0.2	415.08468423462426
SEMA6A_chr5_116467583_116467747_-	SEMA6A	Tier2	Gene	Adrenal_Gland,	BT,HGG,WLM,RHB,LGG,	Signaling	SURFACEOME	false	1.0	0.3	412.67786886875683
WNT5A_chr3_55480785_55480918_-	WNT5A	Tier1	Gene		EPD,EWS,	Secreted Factors	MATRISOME_SURFACEOME	true	0.375	0.0	193.1971896901436
GNAQ_chr9_77728514_77728667_-	GNAQ	Tier2	Gene	Bladder,	EWS,RB,ST,DSRCT,ACT,BT,MEL,EPD,HGG,LGG,MB,	G protein	SURFACEOME	false	1.75	0.8	503.61664499614426
IGF2_chr11_2133517_2133674_-	IGF2	Tier2	Gene	Fallopian_Tube,Liver,Adipose_Tissue,	ST,OS,CPC,DSRCT,ACT,EPD,WLM,RHB,	Secreted Factors	MATRISOME	true	1.4375	0.4666666666666667	818.9679718242014
IL2RB_chr22_37128522_37128848_-	IL2RB	Tier2	Gene	Blood,	DSRCT,	Receptor	SURFACEOME	false	0.125	0.1	6.179931856329885
PTPN11_chr12_112450321_112450512_+	PTPN11	Tier2	Gene	Brain,Bladder,Muscle,	ACT,CPC,RHB,EWS,RB,ST,DSRCT,BT,MEL,MB,EPD,HGG,LGG,	Cell Adhesion	SURFACEOME	false	2.4375	0.7333333333333333	737.7922135232648
SEMA4F_chr2_74674923_74675035_+	SEMA4F	Tier1	Gene		CPC,	Signaling	SURFACEOME	false	0.5	0.06666666666666667	308.2468923243684
FBN1_chr15_48596283_48596378_-	FBN1	Tier2	Gene		EWS,DSRCT,BT,MEL,RHB,ST,	ECM Glycoprotein	MATRISOME	false	0.9375	0.0	593.7743247548993
GPC6_chr13_93545263_93545421_+	GPC6	Tier2	Gene		MB,RB,	ECM-affiliated proteins	MATRISOME	false	0.5	0.0	381.3769601310529
CHRNA4_chr20_63355975_63356084_-	CHRNA4	Tier2	Gene	Liver,	DSRCT,	Synapsis Vesicle	SURFACEOME	false	0.125	0.06666666666666667	14.878280918541805
LOXL2_chr8_23298836_23298947_-	LOXL2	Tier2	Gene	Adipose_Tissue,Breast,Colon,Esophagus,	OS,WLM,RHB,	ECM Regulators	MATRISOME	false	1.0625	0.6666666666666666	340.5769634472856
OLFML2B_chr1_161984804_161984980_-	OLFML2B	Tier2	Gene	Testis,Nerve,Blood_Vessel,Thyroid,	WLM,OS,RHB,	Unclassified	SURFACEOME	false	0.75	0.5666666666666667	425.3145215918666
IL6ST_chr5_55964209_55964312_-	IL6ST	Tier2	Gene	Adipose_Tissue,Breast,Adrenal_Gland,Cervix_Uteri,Blood_Vessel,	EPD,HGG,RHB,EWS,RB,ST,DSRCT,BT,MEL,MB,LGG,	Receptor	MATRISOME_SURFACEOME	false	2.125	0.9	560.6530136912738
KITLG_chr12_88545752_88545865_-	KITLG	Tier1	Gene		MB,	Signaling Factor	SURFACEOME	false	0.375	0.03333333333333333	259.50979188862334
MELTF_chr3_197008657_197008724_-	MELTF	Tier2	Gene		OS,MEL,	Cell Adhesion	SURFACEOME	false	0.3125	0.2	160.599604432413
COL11A2_chr6_33170326_33170379_-	COL11A2	Tier2	Gene	Testis,Pituitary,	OS,	Collagen	MATRISOME_SURFACEOME	false	0.25	0.13333333333333333	105.12862403288005
