Exon	DifferentialExonScore	TumorScore	NormalScore	TumorGreaterThansNormalFlag	HighTumorCount	HighNormal	NumGTEx1stQuartile	NumGTEx2ndQuartile	NumGTEx3rdQuartile	NumGTEx4thQuartile	NumDisease1stQuartile	NumDisease2ndQuartile	NumDisease3rdQuartile	NumDisease4thQuartile	GTEx1stQuartile	GTEx2ndQuartile	GTEx3rdQuartile	GTEx4thQuartile	Disease1stQuartile	Disease2ndQuartile	Disease3rdQuartile	Disease4thQuartile	GeneSymbol	Matrisome	Surfaceome	SharedSurfaceMatrisome	CheckDE	CheckSignificant	Gene	AS_Flag	SigExonMaxProp	SigExonMinProp	SigExonPropFlag	ExonSplicingAnnotation	ExonAPRISAnnotation	HighNormalExonProp>0.3_Flag	HighRiskTumorNormalMatch	CheckForHighIHCNormalFlag	CheckForHighMediumInBrain	CheckForExonCoverageBias	IHC_AboveIntermediate(Exclude Testis Ovary)	BoneMarrowHigh	HighProteomicsHitInGTExForGene	LowRiskTumorNormalPair	ExcludeTestisOvaryRNAExpr	OncogeneTumorSuppressors	FinalPrioritization	Surfaceome	Matrisome	SharedSurfaceMatrisome	TargetExon
COL2A1_chr12_47993994_47994047_-	281.8733485117356	0.375	0.0	true	1	0	30	0	0	0	12	3	0	1	Heart,Testis,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,				EWS,ST,DSRCT,ACT,BT,OS,MEL,MB,EPD,HGG,NBL,LGG,	RB,CPC,RHB,		WLM,	COL2A1	true	false	false	true	true	COL2A1	Gene	1.0	0.5	false	Canonical	PRINCIPAL	false	false	false	false	false	true	false	false	false	true	NA	Tier 2	false	true	false	false
IBSP_chr4_87806122_87806184_+	217.00176888077928	0.1875	0.0	true	1	0	30	0	0	0	15	0	0	1	Heart,Testis,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,				EWS,ST,HGG,RHB,LGG,RB,DSRCT,ACT,BT,MEL,MB,CPC,EPD,NBL,WLM,			OS,	IBSP	true	false	false	true	true	IBSP	Gene	1.0	1.0	false	Canonical	PRINCIPAL	false	false	false	false	false	false	false	false	false	false	NA	Tier1	false	true	false	false
SEMA3A_chr7_84007353_84007497_-	170.67497511027506	0.125	0.0	true	1	0	30	0	0	0	15	0	1	0	Heart,Testis,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,				EWS,ST,OS,HGG,RHB,LGG,RB,DSRCT,ACT,BT,MEL,CPC,EPD,NBL,WLM,		MB,	NA	SEMA3A	false	true	false	true	true	SEMA3A	Gene	0.8235294117647058	0.2	true	Canonical	PRINCIPAL	false	false	false	false	false	false	false	false	false	false	NA	Tier1	true	false	false	false
LAMA1_chr18_6949101_6949259_-	150.69158683469018	0.25	0.1	true	1	1	28	1	1	0	13	2	1	0	Heart,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Kidney,	Testis,		EWS,ST,OS,RHB,LGG,DSRCT,ACT,BT,MEL,MB,CPC,NBL,WLM,	RB,HGG,	EPD,	NA	LAMA1	true	false	false	true	true	LAMA1	Gene	0.8571428571428571	0.3333333333333333	false	Canonical	PRINCIPAL	false	false	false	false	false	false	false	false	false	false	NA	Tier1	false	true	false	false
CP_chr3_149209211_149209340_-	209.89589242295875	0.5	0.16666666666666666	true	2	1	27	2	0	1	10	4	2	0	Heart,Testis,Brain,Fallopian_Tube,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Esophagus,Small_Intestine,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Salivary_Gland,Blood_Vessel,		Liver,	EWS,ST,ACT,BT,OS,MEL,MB,NBL,WLM,RHB,	RB,CPC,HGG,LGG,	DSRCT,EPD,	NA	CP	false	true	false	true	true	CP	Gene	1.0	0.2	true	Alt_Transcript	NA	true	false	false	false	false	false	true	true	false	true	NA	Tier 2	true	false	false	false
MMP13_chr11_102952012_102952173_-	205.67830491322312	0.1875	0.0	true	1	0	30	0	0	0	15	0	0	1	Heart,Testis,Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,				EWS,ST,HGG,RHB,LGG,RB,DSRCT,ACT,BT,MEL,MB,CPC,EPD,NBL,WLM,			OS,	MMP13	true	false	false	true	true	MMP13	Gene	1.0	0.9090909090909091	false	Canonical	PRINCIPAL	false	false	false	false	false	true	false	false	false	false	NA	Tier1	false	true	false	false
SMOC1_chr14_69994239_69994480_+	546.2808395502195	0.75	0.13333333333333333	true	4	1	27	2	1	0	11	1	1	3	Heart,Brain,Fallopian_Tube,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,	Liver,Prostate,	Testis,		EWS,RB,ST,ACT,BT,OS,MEL,CPC,NBL,WLM,RHB,	MB,	HGG,	DSRCT,EPD,LGG,	SMOC1	true	false	false	true	true	SMOC1	Gene	1.0	0.25	false	Missing_in_annotated_transcripts	NA	true	true	false	false	false	false	false	true	false	true	NA	Tier 2	false	true	false	false
MMP9_chr20_46014123_46014272_+	241.13160042863348	0.3125	0.26666666666666666	true	1	2	26	2	0	2	13	2	0	1	Heart,Testis,Brain,Fallopian_Tube,Liver,Bladder,Cervix_Uteri,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Pituitary,Breast,Skin,Prostate,	Lung,Adipose_Tissue,		Spleen,Blood,	EWS,ST,HGG,RHB,LGG,RB,DSRCT,ACT,BT,MB,CPC,EPD,WLM,	MEL,NBL,		OS,	MMP9	true	false	false	true	true	MMP9	Gene	1.0	1.0	false	Missing_in_annotated_transcripts	NA	false	false	false	false	false	true	true	true	false	true	NA	Tier 2	false	true	false	false
BCAN_chr1_156659027_156659528_+	572.9954865852279	0.5625	0.1	true	3	1	29	0	0	1	13	0	0	3	Heart,Testis,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Nerve,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Blood_Vessel,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,			Brain,	EWS,ST,OS,RHB,RB,DSRCT,ACT,BT,MEL,MB,CPC,NBL,WLM,			EPD,HGG,LGG,	BCAN	true	false	false	true	true	BCAN	Gene	1.0	0.75	false	Missing_in_annotated_transcripts	PRINCIPAL	true	true	true	true	true	true	false	true	false	true	NA	Not Prioritized	false	true	false	false
ADAMTS7_chr15_78768133_78768259_-	178.1142421007871	0.375	0.16666666666666666	true	1	1	26	3	1	0	11	4	1	0	Brain,Fallopian_Tube,Liver,Lung,Bladder,Cervix_Uteri,Blood,Kidney,Ovary,Uterus,Adrenal_Gland,Muscle,Colon,Pancreas,Thyroid,Spleen,Stomach,Vagina,Esophagus,Small_Intestine,Salivary_Gland,Adipose_Tissue,Pituitary,Breast,Skin,Prostate,	Testis,Nerve,Blood_Vessel,	Heart,		EWS,RB,ST,DSRCT,BT,MEL,CPC,EPD,HGG,NBL,LGG,	OS,MB,WLM,RHB,	ACT,	NA	ADAMTS7	true	false	false	true	true	ADAMTS7	Gene	0.5	0.20833333333333334	false	Canonical	PRINCIPAL	false	false	false	false	false	false	false	false	false	true	NA	Tier 2	false	true	false	true
